"","X410","X2965","X2990","X"
"1",410,2966,2990,2
"2",410,2966,2962,2
"3",410,2968,2990,2
"4",410,2968,4078,2
"5",410,4029,2990,2
"6",410,4029,6969,2
"8",410,4029,6160,2
"9",410,6156,2952,2
"10",410,6156,2990,2
"11",410,2922,6969,2
"12",410,2952,6156,2
"13",410,2990,2965,2
"14",410,2990,2966,2
"15",410,2990,2968,2
"16",410,2990,4029,2
"17",410,2990,6156,2
"18",410,2990,2948,2
"19",410,2990,2975,2
"20",410,2948,2990,2
"21",410,2948,6969,2
"22",410,2948,6160,2
"23",410,2962,2966,2
"24",410,6969,4029,2
"25",410,6969,2922,2
"26",410,6969,2948,2
"27",410,6969,2975,2
"28",410,2972,2975,2
"29",410,2972,6160,2
"30",410,4364,2975,2
"31",410,4078,2968,2
"32",410,4078,2975,2
"33",410,2975,2990,2
"34",410,2975,6969,2
"35",410,2975,2972,2
"36",410,2975,4364,2
"37",410,2975,4078,2
"39",410,6160,4029,2
"40",410,6160,2948,2
"41",410,6160,2972,2
"42",1654,2936,2937,2
"43",1654,2936,4078,2
"44",1654,2968,4078,2
"45",1654,2935,2937,2
"46",1654,2937,2936,2
"47",1654,2937,2935,2
"49",1654,2937,8944,2
"50",1654,2937,4078,2
"51",1654,2937,6924,2
"52",1654,2937,9026,2
"53",1654,2937,2923,2
"55",1654,2925,4078,2
"56",1654,8944,2937,2
"57",1654,4078,2936,2
"58",1654,4078,2968,2
"59",1654,4078,2937,2
"60",1654,6924,2937,2
"61",1654,9026,2937,2
"62",1654,2923,2937,2
"63",8359,2786,2789,2
"64",8359,2812,2789,2
"65",8359,2812,2808,2
"66",8359,6067,2789,2
"67",8359,2801,2781,2
"68",8359,2801,2806,2
"69",8359,2789,2786,2
"70",8359,2789,2812,2
"71",8359,2789,6067,2
"72",8359,2789,2781,2
"73",8359,2789,2806,2
"74",8359,2781,2801,2
"75",8359,2781,2789,2
"76",8359,2781,2806,2
"77",8359,2808,2812,2
"78",8359,2806,2801,2
"79",8359,2806,2789,2
"80",8359,2806,2781,2
"81",470,253,247,2
"82",470,253,246,2
"83",470,248,246,2
"84",470,1044,253,2
"85",470,1044,1084,2
"86",470,1044,246,2
"87",470,247,253,2
"88",470,247,246,2
"89",470,245,298,2
"90",470,245,246,2
"91",470,1084,1044,2
"92",470,1084,246,2
"93",470,298,246,2
"94",470,280,246,2
"95",470,246,253,2
"96",470,246,248,2
"97",470,246,1044,2
"98",470,246,247,2
"99",470,246,245,2
"100",470,246,1084,2
"101",470,246,298,2
"102",470,246,280,2
"103",1338,2709,2673,2
"104",1338,2709,2688,2
"105",1338,2715,2673,2
"106",1338,2673,2709,2
"107",1338,2673,2715,2
"108",1338,2673,6045,2
"109",1338,2673,2688,2
"110",1338,2670,2688,2
"111",1338,6045,2673,2
"112",1338,2688,2709,2
"113",1338,2688,2673,2
"114",1338,2688,2670,2
"115",2750,1506,1678,2
"116",2750,1264,1678,2
"117",2750,490,1678,2
"118",2750,1665,1054,2
"119",2750,1197,1678,2
"120",2750,1054,1678,2
"121",2750,4197,1678,2
"122",2750,1056,1665,2
"123",2750,1678,1506,2
"124",2750,1678,1264,2
"125",2750,1678,490,2
"126",2750,1678,1197,2
"127",2750,1678,1054,2
"128",2750,1678,4197,2
"129",3652,730,719,2
"130",3652,737,715,2
"131",3652,737,709,2
"132",3652,737,688,2
"133",3652,737,718,2
"134",3652,737,5595,2
"135",3652,737,719,2
"136",3652,737,442,2
"137",3652,737,722,2
"138",3652,737,448,2
"139",3652,737,664,2
"140",3652,737,746,2
"141",3652,737,729,2
"142",3652,737,711,2
"143",3652,715,737,2
"144",3652,715,718,2
"145",3652,709,737,2
"146",3652,709,688,2
"147",3652,709,711,2
"148",3652,5599,729,2
"149",3652,688,737,2
"150",3652,688,709,2
"151",3652,435,448,2
"152",3652,718,737,2
"153",3652,718,715,2
"154",3652,5595,737,2
"155",3652,719,730,2
"156",3652,719,737,2
"157",3652,442,737,2
"158",3652,442,460,2
"159",3652,722,737,2
"160",3652,644,711,2
"161",3652,448,737,2
"162",3652,448,435,2
"163",3652,460,442,2
"164",3652,664,737,2
"165",3652,746,737,2
"166",3652,729,737,2
"167",3652,729,5599,2
"168",3652,711,737,2
"169",3652,711,644,2
"170",146,3531,7167,2
"171",146,3531,7168,2
"172",146,3531,7162,2
"173",146,3531,7164,2
"174",146,3531,7163,2
"175",146,7167,7176,2
"176",146,7168,7173,2
"177",146,7162,7161,2
"178",146,7164,7165,2
"179",146,7173,7172,2
"180",897,6019,2397,2
"181",897,4200,2397,2
"182",897,2399,2397,2
"183",897,2400,2397,2
"184",897,6024,2397,2
"185",897,2425,2397,2
"186",897,8076,2397,2
"187",897,2402,2397,1
"188",897,2430,2397,2
"189",897,4203,2397,2
"190",897,2397,6019,2
"191",897,2397,4200,2
"192",897,2397,2399,2
"193",897,2397,2400,2
"194",897,2397,6024,2
"195",897,2397,2425,2
"196",897,2397,8076,2
"197",897,2397,2402,1
"198",897,2397,2430,2
"199",897,2397,4203,2
"200",897,2397,2426,2
"201",897,2397,4204,2
"202",897,2397,2433,2
"203",897,2397,6026,2
"204",897,2397,6016,2
"205",897,2397,6021,2
"206",897,2397,2404,2
"207",897,2426,2397,2
"208",897,4204,2397,2
"209",897,2433,2397,2
"210",897,6026,2397,2
"211",897,6016,2397,2
"212",897,6021,2397,2
"213",897,2404,2397,2
"214",1729,7376,4214,2
"215",1729,7373,2531,2
"216",1729,7373,2621,2
"217",1729,2531,7373,2
"218",1729,2531,7367,2
"219",1729,2531,2613,2
"220",1729,2535,2564,2
"221",1729,2548,2562,2
"222",1729,2548,7367,2
"223",1729,2538,7380,2
"224",1729,7380,2538,2
"225",1729,7380,2564,2
"226",1729,2560,2613,2
"227",1729,2564,2535,2
"228",1729,2564,7380,2
"229",1729,2564,2613,2
"230",1729,2564,2635,2
"231",1729,2564,2633,2
"232",1729,2564,6039,2
"233",1729,2562,2548,2
"234",1729,2562,4214,2
"235",1729,2562,2613,2
"236",1729,2562,2633,2
"237",1729,7367,2531,2
"238",1729,7367,2548,2
"239",1729,2528,2613,2
"240",1729,4214,7376,2
"241",1729,4214,2562,2
"242",1729,2613,2531,2
"243",1729,2613,2560,2
"244",1729,2613,2564,2
"245",1729,2613,2562,2
"246",1729,2613,2528,2
"247",1729,2613,2619,2
"248",1729,2613,2633,2
"249",1729,2619,2613,2
"250",1729,2621,7373,2
"251",1729,2621,6039,2
"252",1729,2635,2564,2
"253",1729,2635,2633,2
"254",1729,2633,2564,2
"255",1729,2633,2562,2
"256",1729,2633,2613,2
"257",1729,2633,2635,2
"258",1729,6039,2564,2
"259",1729,6039,2621,2
"260",10739,5726,3830,2
"261",10739,5726,3678,2
"262",10739,4042,3830,2
"263",10739,4042,3678,2
"264",10739,3591,3678,2
"265",10739,3830,5726,2
"266",10739,3830,4042,2
"267",10739,3678,5726,2
"268",10739,3678,4042,2
"269",10739,3678,3591,2
"270",16262,7144,7145,2
"271",16262,7144,3808,2
"272",16262,7145,7144,2
"273",16262,7145,7147,2
"274",16262,7145,3808,2
"275",16262,7147,7145,2
"276",16262,7147,3808,2
"277",16262,3808,7144,2
"278",16262,3808,7145,2
"279",16262,3808,7147,2
"280",16262,3808,7146,2
"281",16262,7146,3808,2
"282",595,248,1084,2
"283",595,248,273,2
"284",595,248,1063,2
"285",595,1218,1050,2
"286",595,1050,1218,2
"287",595,1050,1084,2
"288",595,1050,1059,2
"289",595,4162,5665,2
"290",595,1084,248,2
"291",595,1084,1050,2
"292",595,1084,897,2
"293",595,1084,1059,2
"294",595,1084,273,2
"295",595,1084,5665,2
"296",595,897,1084,2
"297",595,897,273,2
"298",595,1059,1050,2
"299",595,1059,1084,2
"300",595,1059,502,2
"301",595,1059,1063,2
"302",595,502,1059,2
"303",595,273,248,2
"304",595,273,1084,2
"305",595,273,897,2
"306",595,273,1063,2
"307",595,5665,4162,2
"308",595,5665,1084,2
"309",595,1063,248,2
"310",595,1063,1059,2
"311",595,1063,273,2
"376",5521,4119,2188,2
"377",5521,4119,2072,2
"378",5521,4119,5687,2
"379",5521,5687,4059,2
"380",5521,4059,5687,2
"381",3021,3885,3316,2
"382",3021,3999,3316,2
"383",3021,4120,3316,2
"384",3021,3386,3316,2
"385",3021,3077,3316,2
"386",3021,3179,3316,2
"387",3021,3992,2397,2
"388",3021,3992,2276,2
"389",3021,3304,3316,2
"390",3021,2397,3992,2
"391",3021,2397,3316,2
"392",3021,3308,3316,2
"393",3021,3351,3316,2
"394",3021,3034,3316,2
"395",3021,3035,3316,2
"396",3021,3239,3316,2
"397",3021,3205,3316,2
"398",3021,3316,3885,2
"399",3021,3316,3999,2
"400",3021,3316,4120,2
"401",3021,3316,3386,2
"402",3021,3316,3077,2
"403",3021,3316,3179,2
"404",3021,3316,3304,2
"405",3021,3316,2397,2
"406",3021,3316,3308,2
"407",3021,3316,3351,2
"408",3021,3316,3034,2
"409",3021,3316,3035,2
"410",3021,3316,3239,2
"411",3021,3316,3205,2
"412",3021,3316,4302,2
"413",3021,3316,2276,2
"414",3021,4302,3316,2
"415",3021,2276,3992,2
"416",3021,2276,3316,2
"417",2916,1679,1558,2
"418",2916,338,1678,2
"419",2916,345,382,2
"420",2916,1558,1679,2
"421",2916,1558,382,2
"422",2916,1558,346,2
"423",2916,1558,1678,2
"424",2916,382,345,2
"425",2916,382,1558,2
"426",2916,382,342,2
"427",2916,382,1520,2
"428",2916,382,351,2
"429",2916,382,1209,2
"430",2916,3986,1561,2
"431",2916,1609,1678,2
"432",2916,342,382,2
"433",2916,346,1558,2
"434",2916,1561,3986,2
"435",2916,1520,382,2
"436",2916,1612,1678,2
"437",2916,351,382,2
"438",2916,1209,382,2
"439",2916,1678,338,2
"440",2916,1678,1558,2
"441",2916,1678,1609,2
"442",2916,1678,1612,2
"443",20710,3682,6958,2
"444",20710,3682,3754,2
"445",20710,3682,4335,2
"446",20710,3682,5756,2
"447",20710,3682,5759,2
"448",20710,3682,5773,2
"449",20710,1937,3533,2
"450",20710,1943,3533,2
"451",20710,1943,3722,2
"452",20710,3875,3533,2
"453",20710,3875,3793,2
"454",20710,3875,3646,2
"455",20710,3533,1937,2
"456",20710,3533,1943,2
"457",20710,3533,3875,2
"458",20710,3533,1948,2
"459",20710,3533,1941,2
"460",20710,3533,1944,2
"461",20710,3533,3878,2
"462",20710,3533,1930,2
"463",20710,3533,1934,2
"464",20710,3533,3646,2
"465",20710,1948,3533,2
"466",20710,1941,3533,2
"467",20710,1941,1944,2
"468",20710,1944,3533,2
